                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6813,                 8.1224,                 1.5495,                0.50007,                0.18812,                0.18457,                0.12293,                 1.1929,                 9.1471,                 1.0909,                0.00024,                0.00024,                0.00024
                      2,                 1.3161,                 1.9565,                 1.1045,                0.43926,                0.41584,                0.34284,                0.15718,                 1.4189,                 6.7562,                  1.074,              0.0004835,              0.0004835,              0.0004835
                      3,                 1.2479,                 1.4829,                   1.09,                0.05437,                0.42862,                0.02897,                0.01045,                 1.6906,                 155.92,                 1.1958,             0.00070984,             0.00070984,             0.00070984
                      4,                 1.2663,                 1.1745,                 1.1112,                0.14694,                0.14851,                0.04467,                0.01589,                 1.8587,                 4.8281,                 1.2848,             0.00091902,             0.00091902,             0.00091902
                      5,                 1.2954,                 1.1265,                 1.1508,                0.68615,                0.52475,                0.51935,                0.23727,                 1.5789,                 1.5285,                  1.253,               0.001111,               0.001111,               0.001111
                      6,                  1.312,                 1.0101,                 1.1713,                0.68879,                0.52595,                0.56542,                0.23982,                 1.7265,                  1.604,                 1.5596,              0.0012859,              0.0012859,              0.0012859
                      7,                 1.2704,                0.94948,                 1.1193,                0.58704,                0.41584,                0.41284,                0.17032,                 1.7667,                  1.672,                 1.5124,              0.0014436,              0.0014436,              0.0014436
                      8,                 1.3613,                0.96902,                 1.1744,                0.73753,                0.27723,                0.28183,                0.16588,                 1.3943,                 1.3342,                   1.38,               0.001538,               0.001538,               0.001538
                      9,                 1.3042,                0.99817,                 1.2035,                0.63329,                 0.2565,                0.26219,                0.15898,                 1.4993,                  1.805,                 1.2622,               0.001538,               0.001538,               0.001538
                     10,                 1.2675,                0.94364,                 1.1083,                0.31952,                0.35644,                0.25647,                0.14388,                 1.6132,                 2.0622,                 1.1264,               0.001472,               0.001472,               0.001472
                     11,                 1.2276,                0.88092,                  1.105,                 0.6772,                0.47525,                0.47941,                0.20603,                 1.8055,                 1.2046,                 1.1772,               0.001406,               0.001406,               0.001406
                     12,                 1.2446,                0.85939,                 1.0888,                0.69976,                0.55446,                0.60412,                0.28825,                 1.5305,                 1.0704,                 1.1374,                0.00134,                0.00134,                0.00134
                     13,                 1.1742,                0.81681,                 1.1092,                0.65768,                0.40594,                0.45864,                0.24567,                 1.4725,                 1.1361,                 1.1069,               0.001274,               0.001274,               0.001274
                     14,                 1.1687,                0.79796,                 1.0469,                0.65497,                0.55446,                0.58111,                0.30156,                 1.4656,                0.94749,                 1.1151,               0.001208,               0.001208,               0.001208
                     15,                 1.0888,                0.76734,                 1.0532,                0.79744,                0.50495,                0.61527,                0.32747,                 1.3791,                0.94432,                 1.0378,               0.001142,               0.001142,               0.001142
                     16,                 1.1237,                0.74232,                 1.0512,                0.64296,                0.52475,                0.62266,                0.33431,                 1.3307,                0.90303,                 1.0405,               0.001076,               0.001076,               0.001076
                     17,                 1.2163,                0.78227,                 1.0629,                 0.7486,                0.67327,                0.72739,                0.37065,                 1.3207,                0.82537,                 1.0432,                0.00101,                0.00101,                0.00101
                     18,                 1.1188,                0.73891,                 1.0614,                0.69068,                0.66323,                0.71611,                0.37837,                 1.2706,                0.74206,                 1.0624,               0.000944,               0.000944,               0.000944
                     19,                 1.0449,                 0.6794,                 1.0421,                0.76958,                0.67327,                0.73698,                0.38348,                 1.2405,                0.69096,                 1.0229,               0.000878,               0.000878,               0.000878
                     20,                 1.0474,                  0.676,                 1.0483,                0.86887,                0.60396,                0.72852,                0.39463,                 1.2412,                  0.686,                0.99867,               0.000812,               0.000812,               0.000812
                     21,                 1.0747,                0.68971,                 1.0403,                0.69014,                0.56436,                0.64143,                0.34309,                   1.36,                0.72807,                  1.017,               0.000746,               0.000746,               0.000746
                     22,                0.97544,                0.62186,                0.97837,                0.84098,                0.62838,                0.72182,                0.37765,                 1.2931,                0.67449,                0.98831,                0.00068,                0.00068,                0.00068
                     23,                0.99575,                0.64412,                  1.003,                0.68666,                0.56412,                0.63254,                0.34484,                 1.3081,                0.72332,                 1.0137,               0.000614,               0.000614,               0.000614
                     24,                0.98864,                 0.6312,                 1.0206,                0.76913,                0.65971,                0.71284,                0.38459,                 1.2423,                0.68622,                0.98508,               0.000548,               0.000548,               0.000548
                     25,                0.92448,                0.58481,                0.96571,                0.75323,                0.66337,                0.73098,                0.39021,                 1.2783,                0.67779,                0.97912,               0.000482,               0.000482,               0.000482
                     26,                0.89894,                0.57456,                0.95487,                0.77069,                0.68317,                0.76295,                  0.414,                 1.2298,                0.65126,                0.97517,               0.000416,               0.000416,               0.000416
                     27,                0.85723,                0.53081,                0.95383,                0.79073,                0.67341,                0.76033,                0.41587,                 1.2136,                 0.6189,                0.96879,                0.00035,                0.00035,                0.00035
                     28,                 0.8833,                0.54363,                0.96528,                0.86517,                0.61386,                0.74231,                0.39911,                 1.2151,                0.59344,                0.94844,               0.000284,               0.000284,               0.000284
                     29,                0.89258,                0.54471,                0.92369,                0.87406,                 0.6185,                0.75542,                0.43112,                 1.2032,                0.58324,                0.94834,               0.000218,               0.000218,               0.000218
                     30,                0.84556,                0.51411,                0.93162,                 0.8272,                0.65347,                0.78292,                0.46186,                 1.1774,                0.56347,                0.94175,               0.000152,               0.000152,               0.000152
